,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentschoolSatisfaction,StudentAbsenceDays,Class,Discussion-Equal-Width-Bin,Discussion-Equal-Frequency-Bin,Discussion-Custom-Binning
434,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.85,0.8787878787878788,72,10,Good,1,M,very low,A,
435,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.79,0.8888888888888888,79,20,Good,1,M,very low,B,P
436,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.8,0.8181818181818182,71,30,Good,0,M,low,B,P
437,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.7,0.8383838383838383,70,23,Good,0,M,low,B,P
438,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.8,0.8282828282828283,76,19,Good,0,M,very low,B,P
439,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.7,0.8282828282828283,75,29,Good,0,M,low,B,P
440,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.89,0.8787878787878788,86,15,Good,0,M,very low,A,
441,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.9,0.8686868686868687,85,10,Good,0,M,very low,A,
442,M,Jordan,Jordan,MiddleSchool,6,A,History,F,Mum,0.69,0.7777777777777778,76,75,Good,1,M,high,E,S
443,M,Jordan,Jordan,MiddleSchool,6,A,History,S,Mum,0.7,0.7676767676767676,65,70,Good,1,M,high,D,S
444,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.75,0.7272727272727273,64,39,Good,1,L,low,C,Q
445,M,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.72,0.7676767676767676,66,40,Good,1,L,low,C,Q
446,M,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.77,0.8282828282828283,74,79,Good,0,M,high,E,T
447,M,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.71,0.8484848484848485,67,80,Good,0,M,very high,E,T
448,M,Jordan,Jordan,MiddleSchool,6,A,History,F,Mum,0.87,0.9292929292929293,74,89,Good,0,H,very high,E,T
449,M,Jordan,Jordan,MiddleSchool,6,A,History,S,Mum,0.81,0.8484848484848485,77,85,Good,0,H,very high,E,T
450,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.15,0.9797979797979798,22,10,Good,0,H,very low,A,
451,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Father,0.19,0.98989898989899,20,2,Good,0,H,very low,A,
452,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Father,0.25,0.8282828282828283,52,20,Good,1,M,very low,B,P
453,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Father,0.29,0.7878787878787878,40,12,Good,1,M,very low,A,
454,F,Jordan,Jordan,MiddleSchool,6,A,History,F,Father,0.45,0.8787878787878788,57,80,Good,0,M,very high,E,T
455,F,Jordan,Jordan,MiddleSchool,6,A,History,S,Father,0.39,0.8888888888888888,43,72,Good,0,M,high,D,S
456,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.85,0.9090909090909091,52,30,Good,0,H,low,B,P
457,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Father,0.79,0.9191919191919192,49,22,Good,0,H,low,B,P
458,M,Iraq,Iraq,MiddleSchool,6,A,Chemistry,F,Father,0.9,0.9191919191919192,80,81,Good,0,H,very high,E,T
459,M,Iraq,Iraq,MiddleSchool,6,A,Chemistry,S,Father,0.8,0.9090909090909091,80,83,Good,0,H,very high,E,T
460,M,Iraq,Iraq,MiddleSchool,6,A,Geology,F,Father,0.8,0.8383838383838383,82,71,Good,1,M,high,D,S
461,M,Iraq,Iraq,MiddleSchool,6,A,Geology,S,Father,0.71,0.8181818181818182,83,72,Good,1,M,high,D,S
462,M,Iraq,Iraq,MiddleSchool,6,A,History,F,Father,0.72,0.8787878787878788,72,89,Good,1,M,very high,E,T
463,M,Iraq,Iraq,MiddleSchool,6,A,History,S,Father,0.69,0.7777777777777778,83,92,Good,1,M,very high,E,T
464,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Mum,0.85,1.0,42,90,Good,0,H,very high,E,T
465,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Mum,0.89,0.9696969696969697,45,92,Good,0,H,very high,E,T
466,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Mum,0.8,0.8282828282828283,64,58,Good,0,H,medium,D,R
467,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Mum,0.87,0.9393939393939394,63,60,Good,0,H,high,D,R
468,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.15,0.09090909090909091,14,80,Bad,1,L,very high,E,T
469,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,S,Father,0.09,0.06060606060606061,15,85,Bad,1,L,very high,E,T
470,M,Palestine,Jordan,MiddleSchool,6,A,History,F,Father,0.81,0.8686868686868687,86,41,Good,0,M,medium,C,Q
471,M,Palestine,Jordan,MiddleSchool,6,A,History,S,Father,0.78,0.8282828282828283,78,53,Good,0,M,medium,D,Q
472,M,Palestine,Palestine,MiddleSchool,6,A,Geology,F,Father,0.8,0.8787878787878788,74,68,Good,0,M,high,D,R
473,M,Palestine,Palestine,MiddleSchool,6,A,Geology,S,Father,0.85,0.8888888888888888,79,70,Good,0,M,high,D,S
474,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.02,0.0707070707070707,4,8,Bad,1,L,very low,A,
475,F,Jordan,Jordan,MiddleSchool,6,A,Chemistry,F,Father,0.05,0.04040404040404041,5,8,Bad,1,L,very low,A,
476,F,Jordan,Jordan,MiddleSchool,6,A,Geology,F,Father,0.5,0.7777777777777778,14,28,Bad,0,M,low,B,P
477,F,Jordan,Jordan,MiddleSchool,6,A,Geology,S,Father,0.55,0.7474747474747475,25,29,Bad,0,M,low,B,P
478,F,Jordan,Jordan,MiddleSchool,6,A,History,F,Father,0.3,0.1717171717171717,14,57,Bad,1,L,medium,D,Q
479,F,Jordan,Jordan,MiddleSchool,6,A,History,S,Father,0.35,0.1414141414141414,23,62,Bad,1,L,high,D,R
